Plot,N_sensitive,N_oligo,N_For,N_Cyan,spp_rich
1994,5,5,3,0,6
1995,10,9,6,0,12
1996,5,5,3,0,5
1997,7,6,5,0,8
1999,8,7,3,0,14
2001,7,5,3,0,7
2002,9,5,3,4,17
2003,8,6,7,0,18
2005,8,1,5,0,19
2007,11,11,6,0,23
2009,21,12,5,10,32
2011,14,8,6,3,27
2013,20,20,8,9,36
2015,16,17,7,2,30
2017,11,10,5,0,19
2019,10,9,4,0,18
2021,9,11,6,0,16
2022,20,20,9,1,30
2023,19,18,11,1,28
2025,14,14,8,0,22
2027,14,14,7,0,23
2028,6,6,4,0,7
2029,5,4,3,0,5
2031,9,8,7,0,11
2032,11,9,5,0,22
2034,10,11,4,0,21
2036,11,10,3,0,21
2038,10,13,8,0,15
2041,17,15,10,0,27
2043,11,15,7,0,18
2045,11,9,5,0,13
2047,13,12,7,0,14
2049,16,17,8,1,27
2050,8,6,4,0,9
2051,10,8,8,0,13
2052,6,5,5,0,7
2054,7,1,4,0,15
2055,8,4,3,0,14
2056,13,7,7,0,25
2057,12,8,5,2,19
2058,9,6,3,1,15
2060,12,11,5,1,23
2064,11,15,8,0,17
2065,17,16,11,0,26
2067,19,19,10,1,31
2069,18,18,10,1,28
2071,19,16,11,0,26
2072,13,11,8,0,15
2073,12,12,8,1,15
2075,15,17,10,0,27
2077,11,8,7,1,27
2079,8,8,3,0,18
2081,8,6,3,0,8
2083,8,2,4,0,17
2084,12,8,4,3,20
2085,12,8,3,1,19
2086,12,9,6,1,18
2087,13,9,6,2,23
2088,12,9,6,0,21
2090,14,12,9,0,24
2091,21,17,12,2,35
2092,20,20,12,1,33
2095,18,16,8,1,26
2096,16,19,9,3,31
2097,8,7,5,0,10
2098,7,8,7,0,9
2101,7,5,3,0,17
2103,8,6,3,1,16
2105,7,0,4,0,13
2106,10,7,5,1,16
2108,8,1,4,0,14
2109,12,10,6,1,19
2110,13,10,5,1,21
2114,17,15,9,0,27
2116,17,17,11,0,30
2118,18,16,8,1,27
2119,9,8,5,0,10
2121,16,16,10,0,23
2122,20,19,11,0,32
2124,9,5,3,0,18
2126,11,10,6,1,20
2127,10,12,6,0,21
2128,7,7,2,0,14
2130,9,6,5,0,20
2132,15,15,9,0,24
2133,9,7,5,0,11
2134,12,7,6,0,18
2135,12,10,4,0,23
2136,8,7,4,0,14
2137,17,10,7,0,27
2139,16,14,6,0,22
2141,11,9,5,0,21
2142,13,12,5,0,24
2144,9,8,8,0,22
2145,9,8,7,2,25
2147,9,4,4,0,18
2148,13,5,9,0,23
2149,4,3,1,0,10
2152,13,9,6,0,20
2154,13,7,8,0,22
2156,25,17,11,10,44
2158,19,13,7,12,41
2159,20,14,14,5,41
2161,13,8,7,0,22
2162,7,4,2,0,13
2163,12,6,5,0,21
2165,12,10,8,0,23
2167,14,7,6,2,29
2169,13,6,8,0,21
2170,24,20,14,3,39
2171,21,18,10,5,36
2173,16,14,5,0,26
2175,15,11,6,2,26
2176,20,14,12,2,35
2177,16,11,10,0,26
2178,21,17,10,6,36
2179,14,11,9,0,26
2181,14,14,6,0,23
2183,14,10,4,2,25
2185,17,12,5,0,23
2186,10,10,2,0,16
2188,18,17,10,0,31
2189,11,6,4,1,18
2190,14,6,7,1,27
2192,15,12,3,3,25
2193,18,14,11,0,27
2194,15,15,6,0,27
2196,8,6,2,0,13
2198,14,11,3,0,18
2199,9,9,4,0,16
2200,8,8,5,0,16
2201,12,12,6,1,27
2203,9,9,3,0,18
2205,7,5,3,0,16
2207,12,12,5,2,21
2208,7,6,2,0,14
2209,11,11,6,0,21
2212,12,9,4,0,17
2213,15,12,7,0,21
2214,22,20,5,12,39
2217,14,8,4,0,23
2218,9,11,6,0,20
2219,11,9,3,0,19
2220,10,10,4,0,14
2222,6,6,2,0,10
2223,18,16,9,7,34
2225,10,11,2,4,19
2227,19,17,5,6,30
2229,11,16,7,3,27
2231,10,11,6,0,16
2232,14,9,5,0,21
2234,12,10,6,0,17
2235,16,17,11,0,27
2236,19,18,7,1,31
2237,15,14,10,0,25
2239,11,7,6,0,19
2241,10,12,5,1,21
2243,7,10,3,0,16
2245,8,11,6,0,20
2246,12,9,7,0,24
2247,19,19,7,8,35
2248,14,9,5,1,26
2250,13,11,6,0,22
2251,15,15,7,0,27
2253,7,9,4,0,18
2255,18,14,9,0,28
2257,13,12,6,0,18
2259,15,14,8,0,17
2260,16,17,8,1,29
2261,10,11,5,0,20
2263,3,4,4,0,11
2265,14,13,3,7,27
2267,9,8,4,0,16
2269,9,8,4,0,16
2271,12,10,5,2,19
2272,17,14,7,0,25
2274,10,12,5,0,19
2276,14,13,8,0,17
2279,14,13,8,0,20
2282,10,8,5,0,15
2283,7,8,4,0,15
2284,14,12,6,0,23
2285,4,2,2,0,6
2287,8,8,5,0,16
2288,12,14,7,0,21
2289,11,9,4,0,18
2291,8,9,4,0,12
2294,10,15,5,7,24
2296,10,12,5,0,23
2297,14,11,6,0,23
2298,9,10,4,0,14
2299,13,13,8,1,26
2301,13,10,4,0,19
2302,13,12,4,1,22
2303,21,21,9,9,35
2304,10,9,4,0,14
2305,15,13,8,1,27
2306,9,13,6,1,20
2307,15,12,8,0,26
2308,12,11,4,0,19
2310,12,17,6,4,26
2311,12,13,6,0,25
2312,17,17,6,6,28
2313,16,9,10,2,27
2315,21,13,8,5,32
2316,11,10,6,2,22
2317,12,15,4,9,27
2318,10,9,3,0,16
2319,10,12,6,2,18
2321,8,10,3,0,16
2322,11,10,8,1,24
2324,15,12,5,9,27
2325,7,6,3,0,14
2327,6,6,4,0,10
2328,6,4,3,0,8
2329,13,13,7,0,20
2330,12,13,7,0,21
2331,9,7,4,0,13
2333,11,10,5,0,21
2334,13,7,5,2,21
2336,12,8,5,0,16
2337,11,9,4,0,14
2339,10,12,6,0,21
2340,11,11,8,0,20
2341,15,13,7,1,25
2342,7,7,6,0,13
2344,11,11,5,0,18
2345,11,7,3,2,19
2346,7,4,3,0,13
2347,8,9,5,0,15
2349,16,16,7,1,25
2350,10,9,4,0,19
2352,23,19,13,1,37
2354,9,10,5,0,16
2355,14,13,5,2,24
2356,11,11,4,0,16
2357,9,8,4,0,18
2358,11,13,7,2,21
2359,14,12,5,0,20
2360,14,12,6,0,22
2361,12,12,5,0,18
2362,16,10,8,2,26
2364,12,8,6,0,17
2365,4,6,2,0,8
2366,10,13,5,0,16
2367,11,8,4,2,21
2368,13,12,9,1,26
2370,13,14,8,1,24
2372,10,9,3,0,15
2373,12,10,5,0,19
2374,7,7,2,0,13
2375,8,9,4,0,16
2376,11,12,8,0,15
2378,20,22,10,1,31
2382,10,11,5,0,17
2385,8,10,3,0,15
2387,7,9,4,1,18
2394,14,15,8,0,17
2395,14,14,8,1,16
2400,8,10,5,1,19
2402,13,12,5,0,19
2403,9,10,2,2,19
2409,14,14,5,2,21
2410,8,8,5,0,9
2412,8,11,5,0,15
2413,9,10,6,0,10
2414,16,15,8,0,26
2416,11,15,2,8,24
2418,15,18,10,0,23
2422,14,14,7,0,21
2426,12,13,8,0,14
2432,11,11,5,0,15
2434,6,7,3,0,9
2435,15,18,7,1,25
2438,17,18,10,0,23
2439,7,7,4,0,7
2440,20,22,11,1,36
2441,12,11,5,0,20
2446,12,14,7,1,23
2447,10,11,5,1,19
2449,14,14,6,1,18
2450,7,5,3,0,12
2452,6,7,3,0,10
2453,9,8,4,0,14
2454,10,9,4,1,19
2455,15,9,6,0,24
2456,7,6,2,0,12
2458,7,8,4,0,15
2459,10,11,3,2,22
2461,7,5,3,0,11
2462,11,8,8,0,23
2463,11,10,6,1,24
2464,7,6,3,0,12
2467,9,7,5,0,10
2468,6,6,3,1,6
2471,7,7,4,0,9
2472,8,8,5,0,16
2473,6,6,3,0,7
2474,11,8,7,1,15
2475,7,8,4,0,9
2476,13,10,7,1,19
2477,9,8,7,0,11
2479,7,7,4,0,7
2480,3,3,2,0,6
2482,4,3,2,0,5
2483,13,11,8,1,23
2484,18,14,7,5,33
2485,13,10,7,1,26
2486,15,14,8,1,20
2487,14,13,9,0,19
2488,13,13,6,1,15
2489,14,14,8,1,22
2490,12,13,7,0,15
2491,8,10,6,0,14
2492,8,10,7,0,12
2493,9,9,4,1,13
2494,15,15,8,1,24
2495,12,12,6,1,23
2496,5,5,3,0,5
2497,11,11,6,0,13
2498,5,6,5,0,6
2499,8,8,5,0,9
2504,11,10,6,0,19
2506,9,8,5,1,10
2508,10,10,5,0,11
2510,15,15,9,0,26
2511,12,13,8,1,17
2515,12,9,6,1,17
2516,18,8,6,0,26
2517,16,14,8,1,27
